0.000000000000000000e+00,1.000000000000000021e-02
1.291814011519080759e-07,3.802358297314063293e+03
3.142888816181476591e-07,7.604716594628126586e+03
1.628702602702697774e-06,1.140707489194219124e+04
1.165255121229416659e-05,1.520943318925625317e+04
6.181863605910978407e-05,1.901179148657031692e+04
2.481103280433696575e-04,2.281414978388438249e+04
8.181235351486750755e-04,2.661650808119844442e+04
2.386433023664740177e-03,3.041886637851250634e+04
6.593322773243825291e-03,3.422122467582656827e+04
1.700907709910537413e-02,3.802358297314063384e+04
3.365950867610155439e-02,4.182594127045469941e+04
5.041862522158964410e-02,4.562829956776876497e+04
6.810842963188402932e-02,4.943065786508283054e+04
8.918861461092433829e-02,5.323301616239688883e+04
1.147106478580610517e-01,5.703537445971095440e+04
1.452669035064519110e-01,6.083773275702501269e+04
1.814016533253527408e-01,6.464009105433907825e+04
2.236877697661894260e-01,6.844244935165313655e+04
2.727307719883479420e-01,7.224480764896720939e+04
